,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1a0c0,0,0.0909090909,0.0666666667,0.064516129,0.0606060606,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1a180,0,0.0666666667,0.0588235294,0.0625,0.064516129,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1a1c0,0.064516129,0.0606060606,0,0.064516129,0,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1a1c0,0.064516129,0.0606060606,0,0.064516129,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1bbc0,0.0606060606,0.09375,0.0606060606,0.064516129,0.0588235294,0.09375,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1bc00,0,0.09375,0.09375,0.1142857143,0.1,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1be00,0.0322580645,0.0303030303,0.0322580645,0.064516129,0.0666666667,0.064516129,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libfilebrowser.so, 0x1be00,0.0322580645,0.0303030303,0.0322580645,0.064516129,0.0666666667,0.064516129,0.0666666667,,
,,,,,,,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x1c00,0,0.064516129,0.0588235294,0.0606060606,0.0625,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x1c80,0,0.0606060606,0.064516129,0.0588235294,0.1,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x1ec0,0,0.0606060606,0.064516129,0.0625,0.0588235294,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x1f40,0.0625,0.0606060606,0.0666666667,0.064516129,0.0967741935,0.0967741935,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2000,0.0625,0.064516129,0,0,0.0625,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2000,0.0625,0.064516129,0,0,0.0625,0,0,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2040,0.0588235294,0.0588235294,0,0.0625,0.0294117647,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2140,0.0967741935,0.0606060606,0.0606060606,0.0967741935,0.0625,0.0967741935,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2140,0.0967741935,0.0606060606,0.0606060606,0.0967741935,0.0625,0.0967741935,0.0967741935,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2180,0.0606060606,0.0967741935,0.0625,0.09375,0.0625,0.0967741935,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2180,0.0606060606,0.0967741935,0.0625,0.09375,0.0625,0.0967741935,0.09375,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x2240,0,0.0588235294,0.064516129,0.0606060606,0.0606060606,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x3140,0,0.0606060606,0.064516129,0.0606060606,0.0967741935,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x31c0,0.0294117647,0,0.0303030303,0.0666666667,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x31c0,0.0294117647,0,0.0303030303,0.0666666667,0.03125,0,0.0666666667,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x3200,0.0294117647,0.0333333333,0,0.03125,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x3240,0.0285714286,0,0.0606060606,0.0303030303,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libdocinfo.so,  0x3240,0.0285714286,0,0.0606060606,0.0303030303,0.03125,0,0.0606060606,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x2c80,0.0588235294,0.0666666667,0.0322580645,0.0606060606,0.0588235294,0.0322580645,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x2d00,0.0303030303,0.03125,0.0606060606,0.0285714286,0.0322580645,0.0606060606,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x2d80,0.0285714286,0.064516129,0.064516129,0.0588235294,0.0666666667,0.0285714286,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x2f80,0.064516129,0.0606060606,0.03125,0.0606060606,0.0588235294,0.03125,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x3140,0.0625,0.0606060606,0.064516129,0.0967741935,0.0606060606,0.0967741935,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x3280,0,0.064516129,0.03125,0.0333333333,0.0303030303,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x3280,0,0.064516129,0.03125,0.0333333333,0.0303030303,0,0.064516129,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x3a00,0.0625,0.09375,0.1034482759,0.064516129,0.0625,0.1034482759,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x3ac0,0.03125,0.0344827586,0.0294117647,0.0333333333,0,0,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x47c0,0.0322580645,0.0588235294,0.0333333333,0.0606060606,0.0606060606,0.0322580645,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x48c0,0,0.0322580645,0.0303030303,0.0303030303,0.0714285714,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x48c0,0,0.0322580645,0.0303030303,0.0303030303,0.0714285714,0,0.0714285714,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x4c40,0.064516129,0.0625,0.0322580645,0.0689655172,0.0625,0.0322580645,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x4c80,0,0.03125,0.0625,0.064516129,0.0666666667,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libtime.so,  0x51c0,0,0.0555555556,0.0625,0.0588235294,0.064516129,0,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x6940,0.0909090909,0.0606060606,0.0606060606,0.0666666667,0.0625,0.0909090909,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7400,0.0625,0.0606060606,0.064516129,0.0588235294,0.0967741935,0.0967741935,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7980,0,0.064516129,0.0625,0.064516129,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7980,0,0.064516129,0.0625,0.064516129,0.03125,0,0.03125,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x79c0,0.0967741935,0.0606060606,0.0625,0.0625,0.09375,0.0967741935,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x79c0,0.0967741935,0.0606060606,0.0625,0.0625,0.09375,0.0967741935,0.09375,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7b80,0.0666666667,0.0322580645,0,0.03125,0.03125,0.0666666667,,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7b80,0.0666666667,0.0322580645,0,0.03125,0.03125,0.0666666667,0,,
/usr/lib/x86_64-linux-gnu/gedit/plugins/libspell.so,  0x7d80,0,0.0967741935,0.1071428571,0.09375,0.09375,0,,,
